,Citation_Number,PMID,Ref,Link,Source,Title,Authors,JournalorConference,Year,Abstract,Ensemble,Include_TA_JG,Primary_reason_for_exclusion_TA_JG,Explanation_TA_JG,Update_April,Include_TA_SY,Primary_reason_for_exclusion_TA_SY,Explanation_TA_SY,Include_FR_SY,Primary_reason_for_exclusion_FR_SY,Explanation_FR_SY,Primary_goals,Phenotype,Pheno_cluster_category,Pheno_temporal_category,Pheno_SDOH_category,Pheno_binary,Pheno_categorical,Pheno_continuous,Pheno_temporal,Pheno_severity,Pheno_SDOH,Pheno_subtype_subgroup,Total_number_of_phenos,Data_source,Multi_sites_data,Research_network_name,Openly_available_data,Competition_data_name,Additional_data,Country,Institution_data_size,Study_cohort_size,Unstructured_data_type,Unstructured_data_language,Structured_data_type,CDM,Terminology,Traditional_ML_method,DL_method,CNN_subname,RNN_subname,FFNN_subname,BERT_subname,ML_type,Labels_for_training,Labels_for_testing,Embedding,Embedding_training_data,Training_size,Validating_size,Testing_size,NLP_software,Additional_ML_classification,Compare_with_rule_based,Compare_with_traditional_ML,Model_performance_metrics,Best_performing_model,Best_performing_name,Best_performing_AUROC,Best_performing_Fscore,Best_performing_PPV,Best_performing_Sensitivity,Best_performing_NPV,Best_performing_Specificity,Best_comparator_Rule,Best_comparator_Rule_AUROC,Best_comparator_Rule_Fscore,Best_comparator_Rule_PPV,Best_comparator_Rule_Sensitivity,Best_comparator_Rule_NPV,Best_comparator_Rule_Specificity,Best_comparator_DL,Best_comparator_DL_AUROC,Best_comparator_DL_Fscore,Best_comparator_DL_PPV,Best_comparator_DL_Sensitivity,Best_comparator_DL_Specificity,Best_comparator_traditional,Best_comparator_traditional_AUROC,Best_comparator_traditional_Fscore,Best_comparator_traditional_PPV,Best_comparator_traditional_Sensitivity,Best_comparator_traditional_NPV,Best_comparator_traditional_Specificity,Additional_traditional_ML,Additional_traditional_AUROC,Additional_traditional_Fscore,Additional_traditional_Fscore_PPV,Additional_traditional_Sensitivity,Additional_traditional_NPV,Additional_traditional_Specificity,Additional_DL,Additional_DL_AUROC,Additional_DL_Fscore,Additional_DL_PPV,Additional_DL_Sensitivity,Class_imbalance_method,Fairness_metrics,Fairness_validation_subgroups,Reported_demographics,Open_code,Open_code_link,Open_algorithm_details,Primary_contribution
95,55,29447188,55,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5813927/,Both,Comparing deep learning and concept extraction based methods for patient phenotyping from clinical narratives,"Gehrmann S, Dernoncourt F, Li Y, Carlson ET, Wu JT, Welt J, Foote J Jr, Moseley ET, Grant DW, Tyler PD, Celi LA.",PLoS One,2018,"In secondary analysis of electronic health records, a crucial task consists in correctly identifying the patient cohort under investigation. In many cases, the most valuable and relevant information for an accurate classification of medical conditions exist only in clinical narratives. Therefore, it is necessary to use natural language processing (NLP) techniques to extract and evaluate these narratives. The most commonly used approach to this problem relies on extracting a number of clinician-defined medical concepts from text and using machine learning techniques to identify whether a particular patient has a certain condition. However, recent advances in deep learning and NLP enable models to learn a rich representation of (medical) language. Convolutional neural networks (CNN) for text classification can augment the existing techniques by leveraging the representation of language to learn which phrases in a text are relevant for a given medical condition. In this work, we compare concept extraction based methods with CNNs and other commonly used models in NLP in ten phenotyping tasks using 1,610 discharge summaries from the MIMIC-III database. We show that CNNs outperform concept extraction based methods in almost all of the tasks, with an improvement in F1-score of up to 26 and up to 7 percentage points in area under the ROC curve (AUC). We additionally assess the interpretability of both approaches by presenting and evaluating methods that calculate and extract the most salient phrases for a prediction. The results indicate that CNNs are a valid alternative to existing approaches in patient phenotyping and cohort identification, and should be further investigated. Moreover, the deep learning approach presented in this paper can be used to assist clinicians during chart review or support the extraction of billing codes from text by identifying and highlighting relevant phrases for various medical conditions.",,0,Not phenotyping,,NA,1,,,1,,,This paper used MIMIC data to identify patients with 10 different phenotypes and shows that CNN with word embeddings outperforms other ML such as logistic regression,Advanced metastatic cancer; Advanced heart disease; Advanced lung disease; Chronic neurologic dystrophies; Chronic pain; Alcohol abuse; Substance abuse; Obesity; Psychiatric disorders; Depression,,,NA; NA; NA; NA; NA; Health and health care; Health and health care; NA; NA; NA,10,NA,NA,NA,NA,2,NA,10,MIMIC-III database,0,,1,,,US,53000 admissions; 52746 discharge summaries; 812128 nursing notes,1610 notes,Discharge summaries,English,,,ICD-9; CPT; UMLS,,CNN,Not specified,,,,Supervised,Chart review,Chart review,Word2vec,MIMIC-III database (internal),1127 notes,,483 notes,cTAKES,Transfer learning,,Logistic regression,Precision; Recall; F-score; AUROC,DL,CNN,0.95;0.91;0.89;0.84;0.73;0.96;0.97;1;0.95;0.93,0.74;0.75;0.62;0.69;0.57;0.81;0.83;0.97;0.83;0.84,0.87;0.74;0.76;0.67;0.69;0.78;0.85;0.83;1;0.87;0.9,0.65;0.76;0.57;0.7;0.45;0.79;0.83;0.95;0.8;0.79,,,,,,,,,NA,,,,,NA,NA,Logistic regression,0.9;0.85;0.76;0.72;0.68;0.89;0.9;0.72;0.77;0.77,0.56;0.44;0.24;0.46;0.41;0.67;0.56;0.30;0.50;0.58,0.44;0.7;0.21;0.47;0.33;1;0.62;0.27;0.47;0.51,0.77;0.32;0.29;0.46;0.54;0.5;0.5;0.35;0.53;0.67,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,1,https://github.com/sebastianGehrmann/phenotyping,,Comparative study
87,56,34514351,56,https://academic.oup.com/jamiaopen/article/4/3/ooaa069/6131671,Both,Identification of social determinants of health using multi-label classification of electronic health record clinical notes,"Stemerman R, Arguello J, Brice J, Krishnamurthy A, Houston M, Kitzmiller R.",JAMIA Open,2021,"Objectives: Social determinants of health (SDH), key contributors to health, are rarely systematically measured and collected in the electronic health record (EHR). We investigate how to leverage clinical notes using novel applications of multi-label learning (MLL) to classify SDH in mental health and substance use disorder patients who frequent the emergency department.Methods and Materials: We labeled a gold-standard corpus of EHR clinical note sentences (N = 4063) with 6 identified SDH-related domains recommended by the Institute of Medicine for inclusion in the EHR. We then trained 5 classification models: linear-Support Vector Machine, K-Nearest Neighbors, Random Forest, XGBoost, and bidirectional Long Short-Term Memory (BI-LSTM). We adopted 5 common evaluation measures: accuracy, average precision-recall (AP), area under the curve receiver operating characteristic (AUC-ROC), Hamming loss, and log loss to compare the performance of different methods for MLL classification using the F1 score as the primary evaluation metric.Results: Our results suggested that, overall, BI-LSTM outperformed the other classification models in terms of AUC-ROC (93.9), AP (0.76), and Hamming loss (0.12). The AUC-ROC values of MLL models of SDH related domains varied between (0.59-1.0). We found that 44.6% of our study population (N = 1119) had at least one positive documentation of SDH.Discussion and Conclusion: The proposed approach of training an MLL model on an SDH rich data source can produce a high performing classifier using only unstructured clinical notes. We also provide evidence that model performance is associated with lexical diversity by health professionals and the auto-generation of clinical note sentences to document SDH.",,1,,,NA,1,,,1,,,This paper developed multi-class ML and DL to classify 6 SDH and DL outperforms ML.,Homelessness; Food stamps; Employment; Financial resource; Insurance status; Social support,,,Neighborhood and built environment; Neighborhood and built environment; Economic stability; Economic stability; Health and health care; Health and health care,6,NA,NA,NA,NA,6,NA,6,University of North Carolina Health System,0,,0,,,US,,1119 patients,Clinical notes,English,,,ICD-10,,RNN,,Bi-LSTM,,,Supervised,Chart review,Chart review,Unigram,Biomedical literature,3250 documents,,813 documents,NLTK,Transfer learning,,SVM; KNN; Random forest; XGBoost,Accuracy; Precision; AUROC; Hamming loss; Log loss; F-score; AUPRC,DL ,Bi-LSTM,0.939,,,,,,,,,,,,NA,,,,,NA,NA,SVM,0.905,0.74,0.64,0.88,NA,NA,XGBoost,0.882,0.82,0.85,0.78,,NA,,NA,NA,NA,NA,,,,1,1,www.github.com/rstem/dissertation.,,Application
85,57,35309014,57,https://arxiv.org/abs/2108.04949,Both,A Study of Social and Behavioral Determinants of Health in Lung Cancer Patients Using Transformers-based Natural Language Processing Models,"Yu Z, Yang X, Dang C, Wu S, Adekkanattu P, Pathak J, George TJ, Hogan WR, Guo Y, Bian J, Wu Y.",AMIA,2021,"Social and behavioral determinants of health (SBDoH) have important roles in shaping people's health. In clinical research studies, especially comparative effectiveness studies, failure to adjust for SBDoH factors will potentially cause confounding issues and misclassification errors in either statistical analyses and machine learning-based models. However, there are limited studies to examine SBDoH factors in clinical outcomes due to the lack of structured SBDoH information in current electronic health record (EHR) systems, while much of the SBDoH information is documented in clinical narratives. Natural language processing (NLP) is thus the key technology to extract such information from unstructured clinical text. However, there is not a mature clinical NLP system focusing on SBDoH. In this study, we examined two state-of-the-art transformer-based NLP models, including BERT and RoBERTa, to extract SBDoH concepts from clinical narratives, applied the best performing model to extract SBDoH concepts on a lung cancer screening patient cohort, and examined the difference of SBDoH information between NLP extracted results and structured EHRs (SBDoH information captured in standard vocabularies such as the International Classification of Diseases codes). The experimental results show that the BERT-based NLP model achieved the best strict/lenient F1-score of 0.8791 and 0.8999, respectively. The comparison between NLP extracted SBDoH information and structured EHRs in the lung cancer patient cohort of 864 patients with 161,933 various types of clinical notes showed that much more detailed information about smoking, education, and employment were only captured in clinical narratives and that it is necessary to use both clinical narratives and structured EHRs to construct a more complete picture of patients' SBDoH factors.",,1,,,1,1,,,1,,,This paper used DL to identify social determinants of health from structured and unstructured EHR,Gender; Ethnicity; Smoking; Employment; Education,,,Social and community context; Social and community context; Health and health care; Economic stability; Education,5,NA,NA,NA,NA,5,NA,5,University of Florida; MIMIC-III database,1,,1,,,US,,20000 patients; 1.5 million clinical notes,Clinical notes,English,Demographics; Encounters,,,,BERT,,,,BERT; RoBERTa,Supervised,Chart review,Chart review,BERT; RoBERTa,MIMIC-III database (external),400 notes,,100 notes,,Transfer learning,,,Precision; Recall; F-score,,BERT,,0.899,0.9058,0.941,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Application
37,58,33936461,58,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8075442/,Both,Bleeding Entity Recognition in Electronic Health Records: A Comprehensive Analysis of End-to-End Systems,"Mitra A, Rawat BPS, McManus D, Kapoor A, Yu H.",AMIA,2020,"A bleeding event is a common adverse drug reaction amongst patients on anticoagulation and factors critically into a clinician's decision to prescribe or continue anticoagulation for atrial fibrillation. However, bleeding events are not uniformly captured in the administrative data of electronic health records (EHR). As manual review is prohibitively expensive, we investigate the effectiveness of various natural language processing (NLP) methods for automatic extraction of bleeding events. Using our expert-annotated 1,079 de-identified EHR notes, we evaluated state-of-the-art NLP models such as biLSTM-CRF with language modeling, and different BERT variants for six entity types. On our dataset, the biLSTM-CRF surpassed other models resulting in a macro F1-score of 0.75 whereas the performance difference is negligible for sentence and document-level predictions with the best macro F1-scores of 0.84 and 0.96, respectively. Our error analyses suggest that the models' incorrect predictions can be attributed to variability in entity spans, memorization, and missing negation signals.",,1,,,NA,1,,,1,,,"This paper compared BERT, Bi-LSTM-CRF and CRF when identifying bleeding event, among which Bi-LSTM-CRF outperforms BioBERT on token-level, while BERT works better on sentence and note level prediction",Bleeding,,,,1,NA,NA,NA,NA,NA,NA,1,Northwestern University,0,,0,,,US,,1079 notes,Discharge summaries,English,Diagnosis,,ICD-9,,BERT,,,,BioBERT,Supervised,Chart review,Chart review,GloVe; Word2vec; BERT; vanilla BERT; BioBERT,Wikipedia; Common Crawl data; Biomedical literature,852 notes,,227 notes,,Transfer learning,,CRF,Precision; Recall; F-score,Traditional ML,CRF,,0.8,0.83,0.77,,,,,,,,,NA,LM-LSTM-CRF,,0.77,0.76,0.78,NA,CRF,,0.8,0.83,0.77,NA,NA,,,,,,,NA,BioBERT,NA,0.75,0.74,0.76,,,,0,0,,,Application
82,59,31265063,59,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7647225/,Both,Identifying vulnerable older adult populations by contextualizing geriatric syndrome information in clinical notes of electronic health records,"Chen T, Dredze M, Weiner JP, Kharrazi H.",J Am Med Inform Assoc,2019,"Objective: Geriatric syndromes such as functional disability and lack of social support are often not encoded in electronic health records (EHRs), thus obscuring the identification of vulnerable older adults in need of additional medical and social services. In this study, we automatically identify vulnerable older adult patients with geriatric syndrome based on clinical notes extracted from an EHR system, and demonstrate how contextual information can improve the process.Materials and Methods: We propose a novel end-to-end neural architecture to identify sentences that contain geriatric syndromes. Our model learns a representation of the sentence and augments it with contextual information: surrounding sentences, the entire clinical document, and the diagnosis codes associated with the document. We trained our system on annotated notes from 85 patients, tuned the model on another 50 patients, and evaluated its performance on the rest, 50 patients.Results: Contextual information improved classification, with the most effective context coming from the surrounding sentences. At sentence level, our best performing model achieved a micro-F-1 of 0.605, significantly outperforming context-free baselines. At patient level, our best model achieved a micro-F-1 of 0.843.Discussion: Our solution can be used to expand the identification of vulnerable older adults with geriatric syndromes. Since functional and social factors are often not captured by diagnosis codes in EHRs, the automatic identification of the geriatric syndrome can reduce disparities by ensuring consistent care across the older adult population.Conclusion: EHR free-text can be used to identify vulnerable older adults with a range of geriatric syndromes.",,1,,,NA,1,,,1,,,This paper used word embedding and DL to identify patients with geriatric syndrome,Fecal control; Dementia; Fall; Malnutrition; Pressure ulcers; Severe urinary control issues; Visual impairment; Walking difficulty; Weight loss,,,,10,NA,NA,NA,NA,NA,NA,10,A regional Medicare Advantage health maintenance organization,0,,0,,,US,,18341 patients,Clinical notes,English,Diagnosis,,ICD-9,,RNN,,Bi-LSTM,,,Supervised,Chart review,Chart review,Word2vec; Paragraph2vec; Med2vec,Structured EHR,135 patients,,50 patients,cTAKES,Transfer learning,,,Precision; Recall; F-score,,,,0.843,0.846,0.841,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Method
4,60,32548622,60,https://academic.oup.com/jamia/article/27/7/1084/5858308,Both,Dr. Agent: Clinical predictive model via mimicked second opinions,"Gao J, Xiao C, Glass LM, Sun J.",J Am Med Inform Assoc,2020,"Objective: Prediction of disease phenotypes and their outcomes is a difficult task. In practice, patients routinely seek second opinions from multiple clinical experts for complex disease diagnosis. Our objective is to mimic such a practice of seeking second opinions by training 2 agents with different focuses: the primary agent studies the most recent visit of the patient to learn the current health status, and then the second-opinion agent considers the entire patient history to obtain a more global view.Materials and Methods: Our approach Dr. Agent augments recurrent neural networks with 2 policy gradient agents. Moreover, Dr. Agent is customized with various patient demographics information and learns a dynamic skip connection to focus on the relevant information over time. We trained Dr. Agent to perform 4 clinical prediction tasks on the publicly available MIMIC-III (Medical Information Mart for Intensive Care) database: (1) in-hospital mortality prediction, (2) acute care phenotype classification, (3) physiologic decompensation prediction, and (4) forecasting length of stay. We compared the performance of Dr. Agent against 4 baseline clinical predictive models.Results: Dr. Agent outperforms baseline clinical prediction models across all 4 tasks in terms of all metrics. Compared with the best baseline model, Dr. Agent achieves up to 15% higher area under the precision-recall curve on different tasks.Conclusions: Dr. Agent can comprehensively model the long-term dependencies of patients' health status while considering patients' demographics using 2 agents, and therefore achieves better prediction performance on different clinical prediction tasks.",,1,,,NA,1,,,1,,,"This paper developed a reinforcement learning RNN that phenotyping the 25 acute care conditions, which shows superior classification performance than other traditional ML or RNN DL",Acute kidney injury; Acute stroke; Acute myocardial infarction; Cardiac dysrhythmias; Chronic kidney disease; Chronic obstructive pulmonary disease; Complications of surgical/medical care; Conduction disorders; Congestive heart failure; Coronary artery disease; Diabetes mellitus with complications; Diabetes mellitus without complication; Disorders of lipid metabolism; Essential hypertension; Fluid and electrolyte disorders; Hemorrhage; Hypertension with complications; Liver disease; Lower respiratory disease; Upper respiratory disease; Pleurisy; Pneumonia acute; Respiratory impairment; Sepsis; Shock,,,,25,NA,NA,NA,NA,NA,NA,25,MIMIC-III database,0,,1,,,US,,33678 patients,,,Demographics; Vital signs; Diagnosis; Lab results,,,,RNN,,Not specified,,,Supervised,ICD codes,ICD codes,,,24327 patients,,4293 patients,,,,L2 logistic regression,AUROC; AUPRC,DL,Dr. Agent,0.8276,,,,,,,,,,,,NA,,,,,NA,NA,L2 logistic regression,0.7755,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,1,https://github.com/v1xerunt/Dr.Agent,,Method
100,NA,34791302,61,https://academic.oup.com/jamia/article-abstract/29/1/109/6427463?redirectedFrom=fulltext,Both,Development and validation of a prediction model for actionable aspects of frailty in the text of clinicians' encounter notes,"Martin JA, Crane-Droesch A, Lapite FC, Puhl JC, Kmiec TE, Silvestri JA, Ungar LH, Kinosian BP, Himes BE, Hubbard RA, Diamond JM, Ahya V, Sims MW, Halpern SD, Weissman GE.",J Am Med Inform Assoc,2021,"Objective: Frailty is a prevalent risk factor for adverse outcomes among patients with chronic lung disease. However, identifying frail patients who may benefit from interventions is challenging using standard data sources. We therefore sought to identify phrases in clinical notes in the electronic health record (EHR) that describe actionable frailty syndromes.Materials and Methods: We used an active learning strategy to select notes from the EHR and annotated each sentence for 4 actionable aspects of frailty: respiratory impairment, musculoskeletal problems, fall risk, and nutritional deficiencies. We compared the performance of regression, tree-based, and neural network models to predict the labels for each sentence. We evaluated performance with the scaled Brier score (SBS), where 1 is perfect and 0 is uninformative, and the positive predictive value (PPV).Results: We manually annotated 155 952 sentences from 326 patients. Elastic net regression had the best performance across all 4 frailty aspects (SBS 0.52, 95% confidence interval [CI] 0.49-0.54) followed by random forests (SBS 0.49, 95% CI 0.47-0.51), and multi-task neural networks (SBS 0.39, 95% CI 0.37-0.42). For the elastic net model, the PPV for identifying the presence of respiratory impairment was 54.8% (95% CI 53.3%-56.6%) at a sensitivity of 80%.Discussion: Classificationmodels using EHR notes can effectively identify actionable aspects of frailty among patients living with chronic lung disease. Regression performed better than random forest and neural network models.Conclusions: NLP-based models offer promising support to population health management programs that seek to identify and refer community-dwelling patients with frailty for evidence-based interventions.",,1,,,NA,1,,,1,,,"This paper used both structured and unstructured data (embeddings) to identify frailty syndromes, and showed that regression models outperform more complex NN, while clinically trained language model outperform non-clinically trained models. It also used active learning to aid annotation. It also overseved algorithm not perform equally across subpopulations.  ",Respiratory impairment; Musculoskeletal problems; Fall; Nutritional deficiencies,,,,4,NA,NA,NA,NA,NA,NA,4,Penn Medicine; MIMIC-III database,1,,1,,,US,,326 patients; 155952 sentences,Clinical notes,English,Demographics; Lab results; Vital signs,,,,RNN,,Not specified,,,Supervised,Chart review,Chart review,Word2vec; BioClinicalBERT; RoBERTa,Biomedical literature; Wikipedia; MIMIC-III database (external); Unstructured EHR,178 patients; 73010 sentences,Not set,148 patients; 82851 sentences,ScispaCy,Transfer learning,,L1 and L2 penalized logistic regression; Random forest,Precision; Brier score; AUROC; AUPRC; F-score; Calibration plots,Traditional ML,L1 and L2 penalized logistic regression,,,0.55;0.38;0.15;0.04,0.8; 0.8; 0.8; 0.8,,,,,,,,,NA,RNN,,,0.59;0.4;0.06;0.07,0.8; 0.8; 0.8; 0.8,NA,Random forest,,,0.49,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,Brier score ,Race,1,1,https://github.com/weissman- lab/frailtyclassifier,,Application
66,62,32449766,62,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7313981/,Both,An artificial intelligence approach to COVID-19 infection risk assessment in virtual visits: A case report,"Obeid JS, Davis M, Turner M, Meystre SM, Heider PM, O'Bryan EC, Lenert LA.",J Am Med Inform Assoc,2020,"Objective: In an effort to improve the efficiency of computer algorithms applied to screening for coronavirus disease 2019 (COVID-19) testing, we used natural language processing and artificial intelligence-based methods with unstructured patient data collected through telehealth visits.Materials and Methods: After segmenting and parsing documents, we conducted analysis of overrepresented words in patient symptoms. We then developed a word embedding-based convolutional neural network for predicting COVID-19 test results based on patients' self-reported symptoms.Results: Text analytics revealed that concepts such as smell and taste were more prevalent than expected in patients testing positive. As a result, screening algorithms were adapted to include these symptoms. The deep learning model yielded an area under the receiver-operating characteristic curve of 0.729 for predicting positive results and was subsequently applied to prioritize testing appointment scheduling.Conclusions: Informatics tools such as natural language processing and artificial intelligence methods can have significant clinical impacts when applied to data streams early in the development of clinical systems for outbreak response.",,1,,,NA,1,,,1,,,This paper used CNN to help screening patients eligibility for viral testing and subsequent care of COVID-19 based on the symptoms self-reported in the clinical notes.,COVID-19,,,,1,NA,NA,NA,NA,NA,NA,1,Epic EHR system,0,,0,,Medical University of South Carolina Health System,US,,6919813 patients,Clinical notes,English,Diagnosis,,,,CNN,Not specified,,,,Supervised,Lab results,Lab results,Word2vec,Biomedical literature,8961 patients,,2830 patients,Apache UIMA,Transfer learning,,Logistic regression,AUROC; Precision; Recall; F-score,DL,CNN,0.732,0.566,0.754,0.453,,,,,,,,,NA,,,,,NA,NA,Logistic regression,0.707,0.354,0.8,0.227,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Undersampling,,,0,0,,,Application
73,63,33781918,63,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7997694/,Both,Extracting COVID-19 diagnoses and symptoms from clinical text: A new annotated corpus and neural event extraction framework,"Lybarger K, Ostendorf M, Thompson M, Yetisgen M.",J Biomed Inform,2021,"Coronavirus disease 2019 (COVID-19) is a global pandemic. Although much has been learned about the novel coronavirus since its emergence, there are many open questions related to tracking its spread, describing symptomology, predicting the severity of infection, and forecasting healthcare utilization. Free-text clinical notes contain critical information for resolving these questions. Data-driven, automatic information extraction models are needed to use this text-encoded information in large-scale studies. This work presents a new clinical corpus, referred to as the COVID-19 Annotated Clinical Text (CACT) Corpus, which comprises 1,472 notes with detailed annotations characterizing COVID-19 diagnoses, testing, and clinical presentation. We introduce a span-based event extraction model that jointly extracts all annotated phenomena, achieving high performance in identifying COVID-19 and symptom events with associated assertion values (0.83-0.97 F1 for events and 0.73-0.79 F1 for assertions). Our span-based event extraction model outperforms an extractor built on MetaMapLite for the identification of symptoms with assertion values. In a secondary use application, we predicted COVID-19 test results using structured patient data (e.g. vital signs and laboratory results) and automatically extracted symptom information, to explore the clinical presentation of COVID-19. Automatically extracted symptoms improve COVID-19 prediction performance, beyond structured data alone.",,1,,,NA,1,,,1,,,This paper developed FFNN that identifies COVID-19 patients,COVID-19,,,,1,1,NA,NA,1,NA,NA,2,University of Washington clinical repository; MIMIC-III database,1,,1,,,US,92000 notes,1472 notes,Telephone call notes; Progress notes; Emergency department reports; Nursing notes,English,Lab results,,UMLS,,RNN,,LSTM,,,Supervised,Chart review,Chart review,Bio+Clinical BERT,Biomedical literature; MIMIC-III database (external),1028 notes,,444 notes,MetaMap,Transfer learning,,,Precision; Recall; F-score,,,,0.97; 0.37,0.96; 0.45,0.97;  0.31,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Application
68,64,33043366,64,https://academic.oup.com/jamia/article/28/3/559/5920886,Both,Generative transfer learning for measuring plausibility of EHR diagnosis records,"Estiri H, Vasey S, Murphy SN.",J Am Med Inform Assoc,2021,"Objective: Due to a complex set of processes involved with the recording of health information in the Electronic Health Records (EHRs), the truthfulness of EHR diagnosis records is questionable. We present a computational approach to estimate the probability that a single diagnosis record in the EHR reflects the true disease.Materials and Methods: sing EHR data on 18 diseases from the Mass General Brigham (MGB) Biobank, we develop generative classifiers on a small set of disease-agnostic features from EHRs that aim to represent Patients, pRoviders, and their Interactions within the healthcare SysteM (PRISM features).Results: We demonstrate that PRISM features and the generative PRISM classifiers are potent for estimating disease probabilities and exhibit generalizable and transferable distributional characteristics across diseases and patient populations. The joint probabilities we learn about diseases through the PRISM features via PRISM generative models are transferable and generalizable to multiple diseases.Discussion: The Generative Transfer Learning (GTL) approach with PRISM classifiers enables the scalable validation of computable phenotypes in EHRs without the need for domain-specific knowledge about specific disease processes.Conclusion: Probabilities computed from the generative PRISM classifier can enhance and accelerate applied Machine Learning research and discoveries with EHR data.",,1,,,NA,1,,,1,,,This paper used standard ML methods with self-training and transfer learning to enhance and accelerate applied research with EHR data,Alzheimer's disease; Atrial fibrillation; Asthma; Bipolar disorder; Breast cancer; Coronary artery disease; Crohn's disease; Congestive heart failure; Chronic obstructive pulmonary disease; Epilepsy; Gout;  Hypertension; Rheumatoid arthritis; Schizophrenia; Stroke; Type 1 diabetes mellitus; Type 2 diabetes mellitus; Ulcerative colitis,,,,18,NA,NA,NA,NA,NA,NA,18,Partners/MGB,0,,0,,,US,,Average 5735 patients,,,Diagnosis; Medications; Demographics,,,Bayesian generalized linear regression; Linear discriminant analysis; Quadratic discriminant analysis; Naive Bayes,,,,,,Semi-supervised,Chart review,Chart review,,,1661-14406 patients,,120-1181 patients,,Transfer learning,,,AUROC; Precision; NPV,,L1 logistic regression,0.841;0.931;0.832;0.836;0.959;0.968;0.966;0.839;0.864;0.968;0.981;0.887;0.968;0.808;0.844;0.994;0.935;0.955,,0.529;0.808;0.938;0.65;0.933;0.903;0.935;0.6;0.647;0.955;1;0.885;0.941;0.333;0.75;1;0.968;0.885,,0.886;0.909;0.676;0.813;0.75;0.938;0.879;0.867;0.851;0.886;0.222;0.718;0.938;0.930;0.881;0.931;0.774;0.857,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Method
70,65,33313899,65,https://academic.oup.com/jamia/article-abstract/28/4/772/6032931?redirectedFrom=fulltext,Both,High-throughput phenotyping with temporal sequences,"Estiri H, Strasser ZH, Murphy SN.",J Am Med Inform Assoc,2021,"Objective: High-throughput electronic phenotyping algorithms can accelerate translational research using data from electronic health record (EHR) systems. The temporal information buried in EHRs is often underutilized in developing computational phenotypic definitions. This study aims to develop a high-throughput phenotyping method, leveraging temporal sequential patterns from EHRs.Materials and Methods: We develop a representation mining algorithm to extract 5 classes of representations from EHR diagnosis and medication records: the aggregated vector of the records (aggregated vector representation), the standard sequential patterns (sequential pattern mining), the transitive sequential patterns (transitive sequential pattern mining), and 2 hybrid classes. Using EHR data on 10 phenotypes from the Mass General Brigham Biobank, we train and validate phenotyping algorithms.Results: Phenotyping with temporal sequences resulted in a superior classification performance across all 10 phenotypes compared with the standard representations in electronic phenotyping. The high-throughput algorithm's classification performance was superior or similar to the performance of previously published electronic phenotyping algorithms. We characterize and evaluate the top transitive sequences of diagnosis records paired with the records of risk factors, symptoms, complications, medications, or vaccinations.Discussion: The proposed high-throughput phenotyping approach enables seamless discovery of sequential record combinations that may be difficult to assume from raw EHR data. Transitive sequences offer more accurate characterization of the phenotype, compared with its individual components, and reflect the actual lived experiences of the patients with that particular disease.Conclusion: Sequential data representations provide a precise mechanism for incorporating raw EHR records into downstream machine learning. Our approach starts with user interpretability and works backward to the technology.",,1,,,NA,1,,,1,,,"This paper used temporal sequential patterns patterns from EHRs to develop high-throughput phenotyping method for 10 phenotypes, which showed superior classification performance compared with standard representations",Alzheimer's disease; Atrial fibrillation; Coronary artery disease;  Congestive heart failure; Chronic obstructive pulmonary disease;  Rheumatoid arthritis; Stroke;  Type 1 diabetes mellitus; Type 2 diabetes mellitus; Ulcerative colitis,,,,10,NA,NA,NA,NA,NA,NA,10,Partners/MGB,0,,0,,,US,,Average 6000 patients,,,Diagnosis; Medications,,ICD-9/10; RxNorm,L1 logistic regression,,,,,,Semi-supervised,Chart review,Chart review,Not specified,Structured EHR,1661-14406 patients,,163-700 patients,,Transfer learning,,,AUROC,,L1 logistic regression ,0.913;0.943;0.975;0.901;0.872;0.972;0.879;0.993;0.926;0.957,,,,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,0,,,Method
